証券コード,企業名,アクティビスト名,種別,保有割合推移,備考
4626,太陽HD,Oasis Management Company,香港アクティビスト,"25/02/10: 8.00% → 25/03/25: 10.57% → 25/06/13: 13.00% → 25/06/18: 14.89% → 26/03/31: 14.88%",14.88%で横ばい。社長佐藤氏否決後は安定
4626,太陽HD,みさき投資,国内アクティビスト,"21/12/01: 7.25% → 23/12/18: 6.22% → 25/01/08: 4.16%",減少傾向（売却）。25/01以降新たな報告なし
4626,太陽HD,セレクト・エクイティ,ファンド,"26/03/31: 5.01%",新規参入（5%超え）
3593,ホギメディカル,ダルトン・インベストメンツ,米国アクティビスト,"23/12/31: 5.58% → 24/02/29: 5.60% → 24/04/25: 5.74% → 24/06/11: 6.72% → 24/06/24: 7.49% → 24/06/26: 8.02% → 24/07/01: 8.56% → 24/07/02: 9.76% → 24/07/29: 11.01% → 24/08/15: 11.95% → 24/10/24: 12.72% → 24/11/15: 13.36% → 25/01/02: 13.65% → 25/01/08: 13.94% → 25/01/31: 14.29% → 25/04/01: 15.06% → 25/05/23: 15.17% → 25/12/17: 15.17% → 26/03/02: 0%",★26/03/02に全株売却。5.58%→15.17%まで買い増し後、完全撤退
3593,ホギメディカル,NIPPON ACTIVE VALUE FUND PLC (NAVF),英国アクティビスト,"25/01/02: 7.03% → 25/01/08: 7.64% → 25/01/31: 8.21% → 25/04/01: 8.42% → 25/05/23: 8.58% → 25/06/20: 8.58% → 25/12/17: 8.58% → 26/03/02: 0%",★26/03/02に全株売却。ダルトンと同日に完全撤退
3593,ホギメディカル,Goodhart Partners LLP,英国ファンド,"24/12/13: 11.03% → 25/03/05: 9.06%",減少傾向
3593,ホギメディカル,TCG2509（TOB主体）,TOB,"最新: 83.83%",非公開化TOB完了。ダルトン・NAVF撤退はTOB応募による可能性大
6201,豊田自動織機,エリオット・インベストメント・マネジメント,米国ヘッジファンド,"25/12/03: 5.01% → 26/01/15: 6.65% → 26/02/02: 7.14% → 26/03/01: 7.14% → 26/03/23: 0%",★26/03/23に全株売却。約4ヶ月で完全撤退。TOB応募による売却と推定
6201,豊田自動織機,トヨタ自動車,親会社,"25/06/03: 22.74% → 25/06/20: 22.74% → 26/03/23: 22.74%",非公開化TOB進行中。保有比率安定
7201,日産自動車,ルノー,仏自動車メーカー,"22/06/01: 43.40% → 23/07/26: 43.40% → 23/12/13: 38.40% → 24/03/27: 40.42% → 24/03/28: 37.95% → 24/09/26: 38.92% → 24/09/27: 33.92% → 24/10/03: 35.71% → 25/03/31: 35.71%",43.4%→35.71%に段階的売却。25/03/31以降変動なし
3646,駅探,Bold Investment,アクティビスト,"21/08/18: 24.93% → 21/10/01: 24.93% → 21/11/17: 24.93% → 23/06/22: 28.24% → 23/07/10: 28.24%",筆頭株主として28.24%保有維持。23/07以降変動なし
7937,ツツミ,堤 倭子（創業家）,創業家,"23/06/23: 51.21%",創業者交代に伴う株式移動。以降変動なし
2267,ヤクルト本社,ダルトン・インベストメンツ,米国アクティビスト,大量保有報告書での5%超開示なし,5%未満での株主提案
8795,T&Dホールディングス,ファラロン（Taransay Funding名義）,米国ヘッジファンド,大量保有報告書での5%超開示なし,5%未満での株主提案
9377,エージーピー,日本航空（JAL）,事業会社,"12/03/28: 33.34% → 19/11/08: 33.34% → 22/12/23: 29.97% → 25/04/24: 30.46%",JAL保有は30.46%。ANA HD 18.29%・日本空港ビルデング24.5%も大株主
